"AltCountLineCode","CountInput","CountLineBlank","CountLineCodeDecl","CountLineComment","CountLinePreprocessor","CountPath","CountStmt","CountStmtEmpty","Cyclomatic","CyclomaticStrict","Knots","MinEssentialKnots","RatioCommentToCode","AltCountLineComment","CountLine","CountLineCode","CountLineCodeExe","CountLineInactive","CountOutput","CountSemicolon","CountStmtDecl","CountStmtExe","CyclomaticModified","Essential","MaxEssentialKnots","MaxNesting","Affected","Fold"
9,3,2,4,0,0,2,27,2,9,9,0,0,0,0,11,9,4,0,5,26,6,19,9,1,0,5,"NEUTRAL",1
33,10,10,6,0,0,8,28,0,8,8,7,7,0,0,43,33,23,0,11,21,4,24,8,7,7,2,"VULNERABLE",1
153,17,37,22,38,0,1031,137,3,25,31,35,34,0.25,38,226,153,132,0,47,114,10,124,25,13,35,4,"VULNERABLE",1
120,22,19,11,26,0,312076800,95,0,35,46,57,57,0.22,26,165,120,98,0,17,61,8,87,35,31,57,3,"VULNERABLE",1
69,22,5,21,3,0,10,62,1,6,6,3,3,0.04,3,77,69,50,0,29,57,15,46,6,4,3,1,"VULNERABLE",1
107,28,22,11,43,0,3840,90,0,14,20,4,2,0.4,43,171,107,89,0,54,77,6,84,14,3,3,2,"VULNERABLE",1
23,13,7,9,0,0,2,16,0,2,2,2,0,0,0,30,23,13,0,8,15,4,12,2,1,0,1,"VULNERABLE",1
31,14,3,6,0,0,18,25,1,9,9,7,7,0,0,34,31,21,0,10,20,5,19,9,6,7,2,"VULNERABLE",1
107,23,9,15,3,0,3035,89,0,22,23,13,12,0.03,3,119,107,82,0,21,68,8,81,22,11,12,6,"VULNERABLE",1
14,8,3,3,0,0,2,10,0,2,2,1,0,0,0,17,14,9,0,6,9,2,8,2,1,0,1,"VULNERABLE",1
15,9,4,5,0,0,4,11,0,5,5,2,2,0,0,19,15,9,0,4,8,1,10,5,3,2,3,"NEUTRAL",1
109,25,25,26,14,0,95040,87,0,23,25,46,46,0.13,14,148,109,87,0,29,67,12,75,23,17,46,3,"VULNERABLE",1
17,5,4,1,0,0,1,14,0,1,1,0,0,0,0,21,17,14,0,3,14,0,14,1,1,0,0,"NEUTRAL",1
20,9,3,5,0,0,6,13,0,4,4,2,2,0,0,23,20,13,0,6,10,2,11,4,3,2,2,"VULNERABLE",1
52,15,4,7,7,0,202,50,3,17,17,16,15,0.13,7,61,52,38,0,13,37,5,42,17,9,16,4,"NEUTRAL",1
11,13,4,3,0,0,8,30,1,8,10,2,0,0,0,15,11,5,0,5,26,4,25,8,1,0,3,"NEUTRAL",1
73,8,16,7,14,0,4608,69,0,19,19,44,37,0.19,14,102,73,62,0,24,55,6,63,19,12,37,2,"VULNERABLE",1
88,16,2,9,2,0,15,55,0,13,16,33,29,0.02,2,92,88,78,0,6,42,5,50,10,8,29,2,"NEUTRAL",1
160,20,11,11,4,2,585068965,224,1,76,78,214,212,0.03,6,175,136,115,22,29,168,7,216,74,68,213,4,"NEUTRAL",1
18,10,2,7,0,0,2,12,0,2,2,1,0,0,0,20,18,13,0,6,11,6,6,2,1,0,1,"NEUTRAL",1
24,5,5,9,2,0,4,19,0,4,4,2,2,0.08,2,31,24,16,0,11,16,7,12,4,3,2,1,"NEUTRAL",1
9,30,1,2,0,0,3,6,0,3,4,2,2,0,0,10,9,6,0,5,4,1,5,3,3,2,1,"VULNERABLE",1
123,15,12,15,39,0,1122,106,3,19,24,42,42,0.32,39,174,123,98,0,19,89,10,93,19,13,42,3,"VULNERABLE",1
12,6,4,3,0,0,4,8,0,4,4,3,3,0,0,16,12,8,0,1,5,1,7,4,4,3,1,"VULNERABLE",1
